,member_id,contract_id,value
0,0,0,12
1,0,1,17
2,0,2,-16
3,0,3,16
4,0,4,-7
5,0,5,-15
6,0,6,-19
7,0,7,-8
8,0,8,-16
9,0,9,4
10,0,10,-10
11,0,11,13
12,0,12,11
13,0,13,-3
14,0,14,1
15,0,15,-9
16,0,16,5
17,0,17,-4
18,0,18,-5
19,0,19,5
20,0,20,-2
21,0,21,0
22,0,22,-14
23,1,0,-17
24,1,1,9
25,1,2,19
26,1,3,12
27,1,4,-20
28,1,5,-13
29,1,6,1
30,1,7,-15
31,1,8,-12
32,1,9,2
33,1,10,-14
34,1,11,6
35,1,12,17
36,1,13,-8
37,1,14,4
38,1,15,6
39,1,16,6
40,1,17,-6
41,1,18,2
42,1,19,-5
43,1,20,13
44,1,21,7
45,1,22,-14
46,2,0,-5
47,2,1,10
48,2,2,-3
49,2,3,15
50,2,4,-18
51,2,5,6
52,2,6,-6
53,2,7,8
54,2,8,-11
55,2,9,-6
56,2,10,-4
57,2,11,-7
58,2,12,8
59,2,13,-7
60,2,14,18
61,2,15,-14
62,2,16,-6
63,2,17,20
64,2,18,12
65,2,19,-1
66,2,20,1
67,2,21,14
68,2,22,-3
69,3,0,-19
70,3,1,-12
71,3,2,-17
72,3,3,-19
73,3,4,-9
74,3,5,2
75,3,6,-5
76,3,7,-16
77,3,8,0
78,3,9,14
79,3,10,-4
80,3,11,-2
81,3,12,-4
82,3,13,8
83,3,14,-16
84,3,15,-19
85,3,16,20
86,3,17,-3
87,3,18,5
88,3,19,9
89,3,20,8
90,3,21,-5
91,3,22,-12
92,4,0,-13
93,4,1,-11
94,4,2,8
95,4,3,12
96,4,4,-11
97,4,5,-10
98,4,6,-1
99,4,7,9
100,4,8,-14
101,4,9,12
102,4,10,-2
103,4,11,-18
104,4,12,14
105,4,13,13
106,4,14,-13
107,4,15,-4
108,4,16,8
109,4,17,17
110,4,18,-11
111,4,19,-9
112,4,20,-5
113,4,21,14
114,4,22,12
115,5,0,-20
116,5,1,-15
117,5,2,2
118,5,3,-10
119,5,4,2
120,5,5,-7
121,5,6,-11
122,5,7,1
123,5,8,10
124,5,9,5
125,5,10,1
126,5,11,-14
127,5,12,-7
128,5,13,5
129,5,14,-12
130,5,15,0
131,5,16,-14
132,5,17,-2
133,5,18,17
134,5,19,-18
135,5,20,14
136,5,21,-2
137,5,22,8
138,6,0,3
139,6,1,7
140,6,2,-15
141,6,3,2
142,6,4,4
143,6,5,2
144,6,6,-12
145,6,7,-6
146,6,8,-19
147,6,9,-15
148,6,10,-15
149,6,11,-16
150,6,12,13
151,6,13,18
152,6,14,-14
153,6,15,-10
154,6,16,-14
155,6,17,-14
156,6,18,19
157,6,19,20
158,6,20,18
159,6,21,15
160,6,22,13
161,7,0,-12
162,7,1,19
163,7,2,-20
164,7,3,11
165,7,4,-12
166,7,5,-2
167,7,6,19
168,7,7,-11
169,7,8,20
170,7,9,6
171,7,10,-8
172,7,11,12
173,7,12,20
174,7,13,11
175,7,14,-5
176,7,15,-7
177,7,16,16
178,7,17,-18
179,7,18,14
180,7,19,-5
181,7,20,-15
182,7,21,2
183,7,22,-2
184,8,0,-14
185,8,1,7
186,8,2,-2
187,8,3,-3
188,8,4,-12
189,8,5,-14
190,8,6,-2
191,8,7,12
192,8,8,20
193,8,9,-7
194,8,10,-16
195,8,11,-5
196,8,12,-7
197,8,13,-4
198,8,14,-2
199,8,15,13
200,8,16,3
201,8,17,18
202,8,18,4
203,8,19,-11
204,8,20,0
205,8,21,-11
206,8,22,-13
207,9,0,6
208,9,1,13
209,9,2,9
210,9,3,-6
211,9,4,18
212,9,5,-3
213,9,6,19
214,9,7,14
215,9,8,6
216,9,9,-18
217,9,10,9
218,9,11,-19
219,9,12,-5
220,9,13,-14
221,9,14,12
222,9,15,-2
223,9,16,-16
224,9,17,-15
225,9,18,-20
226,9,19,0
227,9,20,-7
228,9,21,-13
229,9,22,-7
230,10,0,5
231,10,1,10
232,10,2,18
233,10,3,-1
234,10,4,-8
235,10,5,-20
236,10,6,6
237,10,7,18
238,10,8,-16
239,10,9,6
240,10,10,-4
241,10,11,1
242,10,12,10
243,10,13,16
244,10,14,-17
245,10,15,-6
246,10,16,5
247,10,17,-9
248,10,18,19
249,10,19,-13
250,10,20,-9
251,10,21,11
252,10,22,14
253,11,0,-6
254,11,1,-7
255,11,2,-17
256,11,3,5
257,11,4,16
258,11,5,0
259,11,6,-7
260,11,7,-15
261,11,8,-8
262,11,9,12
263,11,10,-20
264,11,11,20
265,11,12,-5
266,11,13,-14
267,11,14,-19
268,11,15,-18
269,11,16,-10
270,11,17,7
271,11,18,-13
272,11,19,-8
273,11,20,-7
274,11,21,9
275,11,22,7
276,12,0,-19
277,12,1,-11
278,12,2,2
279,12,3,3
280,12,4,-15
281,12,5,-9
282,12,6,-12
283,12,7,-14
284,12,8,-20
285,12,9,-8
286,12,10,17
287,12,11,-11
288,12,12,5
289,12,13,-19
290,12,14,9
291,12,15,12
292,12,16,-11
293,12,17,13
294,12,18,13
295,12,19,5
296,12,20,-13
297,12,21,18
298,12,22,15
299,13,0,-20
300,13,1,17
301,13,2,-2
302,13,3,7
303,13,4,8
304,13,5,-3
305,13,6,15
306,13,7,-6
307,13,8,-17
308,13,9,1
309,13,10,4
310,13,11,12
311,13,12,17
312,13,13,4
313,13,14,4
314,13,15,10
315,13,16,-2
316,13,17,-10
317,13,18,-3
318,13,19,-4
319,13,20,-10
320,13,21,-9
321,13,22,14
322,14,0,-13
323,14,1,3
324,14,2,6
325,14,3,1
326,14,4,12
327,14,5,-12
328,14,6,-11
329,14,7,20
330,14,8,4
331,14,9,-18
332,14,10,13
333,14,11,3
334,14,12,-8
335,14,13,-17
336,14,14,-6
337,14,15,16
338,14,16,14
339,14,17,4
340,14,18,-5
341,14,19,-16
342,14,20,-11
343,14,21,-12
344,14,22,-11
345,15,0,8
346,15,1,-15
347,15,2,13
348,15,3,12
349,15,4,4
350,15,5,-15
351,15,6,-9
352,15,7,-6
353,15,8,14
354,15,9,15
355,15,10,-4
356,15,11,10
357,15,12,-16
358,15,13,-3
359,15,14,1
360,15,15,6
361,15,16,-1
362,15,17,-6
363,15,18,-20
364,15,19,-9
365,15,20,-2
366,15,21,6
367,15,22,-3
368,16,0,14
369,16,1,-9
370,16,2,19
371,16,3,5
372,16,4,-4
373,16,5,-5
374,16,6,4
375,16,7,19
376,16,8,18
377,16,9,-3
378,16,10,20
379,16,11,-3
380,16,12,-16
381,16,13,-16
382,16,14,10
383,16,15,-15
384,16,16,-19
385,16,17,-13
386,16,18,-18
387,16,19,9
388,16,20,-16
389,16,21,11
390,16,22,-1
391,17,0,13
392,17,1,1
393,17,2,12
394,17,3,12
395,17,4,4
396,17,5,15
397,17,6,7
398,17,7,-13
399,17,8,15
400,17,9,-5
401,17,10,3
402,17,11,12
403,17,12,11
404,17,13,-16
405,17,14,12
406,17,15,11
407,17,16,5
408,17,17,-5
409,17,18,-16
410,17,19,-14
411,17,20,-2
412,17,21,-11
413,17,22,3
414,18,0,-2
415,18,1,-12
416,18,2,10
417,18,3,-2
418,18,4,5
419,18,5,6
420,18,6,-18
421,18,7,-11
422,18,8,-20
423,18,9,-17
424,18,10,2
425,18,11,9
426,18,12,7
427,18,13,-19
428,18,14,-6
429,18,15,-19
430,18,16,-4
431,18,17,-8
432,18,18,10
433,18,19,18
434,18,20,-7
435,18,21,1
436,18,22,18
437,19,0,6
438,19,1,-10
439,19,2,-17
440,19,3,19
441,19,4,-2
442,19,5,-5
443,19,6,-15
444,19,7,2
445,19,8,15
446,19,9,13
447,19,10,-7
448,19,11,9
449,19,12,0
450,19,13,2
451,19,14,14
452,19,15,16
453,19,16,9
454,19,17,-9
455,19,18,-10
456,19,19,-15
457,19,20,-10
458,19,21,8
459,19,22,18
460,20,0,7
461,20,1,-13
462,20,2,-12
463,20,3,-12
464,20,4,19
465,20,5,20
466,20,6,18
467,20,7,-8
468,20,8,6
469,20,9,14
470,20,10,6
471,20,11,3
472,20,12,20
473,20,13,-3
474,20,14,8
475,20,15,-8
476,20,16,-9
477,20,17,-13
478,20,18,1
479,20,19,7
480,20,20,17
481,20,21,-6
482,20,22,-20
483,21,0,-11
484,21,1,-6
485,21,2,14
486,21,3,-7
487,21,4,15
488,21,5,-9
489,21,6,16
490,21,7,15
491,21,8,15
492,21,9,2
493,21,10,-15
494,21,11,-17
495,21,12,-5
496,21,13,12
497,21,14,4
498,21,15,-20
499,21,16,-18
500,21,17,-6
501,21,18,11
502,21,19,18
503,21,20,-14
504,21,21,-3
505,21,22,17
506,22,0,-6
507,22,1,-19
508,22,2,18
509,22,3,-3
510,22,4,13
511,22,5,10
512,22,6,-20
513,22,7,2
514,22,8,19
515,22,9,1
516,22,10,-17
517,22,11,-13
518,22,12,-2
519,22,13,-19
520,22,14,-6
521,22,15,-2
522,22,16,-16
523,22,17,7
524,22,18,9
525,22,19,-14
526,22,20,-7
527,22,21,-17
528,22,22,10
529,23,0,-10
530,23,1,-8
531,23,2,-9
532,23,3,0
533,23,4,3
534,23,5,3
535,23,6,0
536,23,7,18
537,23,8,14
538,23,9,9
539,23,10,13
540,23,11,9
541,23,12,-3
542,23,13,-15
543,23,14,-3
544,23,15,-1
545,23,16,2
546,23,17,-14
547,23,18,10
548,23,19,10
549,23,20,-12
550,23,21,14
551,23,22,-4
552,24,0,-18
553,24,1,-18
554,24,2,-18
555,24,3,-10
556,24,4,11
557,24,5,-20
558,24,6,13
559,24,7,-17
560,24,8,-4
561,24,9,4
562,24,10,-9
563,24,11,9
564,24,12,-8
565,24,13,10
566,24,14,-1
567,24,15,13
568,24,16,-8
569,24,17,14
570,24,18,6
571,24,19,13
572,24,20,-6
573,24,21,11
574,24,22,-6
575,25,0,18
576,25,1,-7
577,25,2,14
578,25,3,15
579,25,4,12
580,25,5,-12
581,25,6,-2
582,25,7,-8
583,25,8,-11
584,25,9,-7
585,25,10,-18
586,25,11,13
587,25,12,17
588,25,13,-9
589,25,14,16
590,25,15,0
591,25,16,20
592,25,17,-5
593,25,18,-19
594,25,19,7
595,25,20,15
596,25,21,14
597,25,22,5
598,26,0,17
599,26,1,20
600,26,2,-11
601,26,3,8
602,26,4,10
603,26,5,6
604,26,6,9
605,26,7,-20
606,26,8,10
607,26,9,17
608,26,10,-10
609,26,11,-11
610,26,12,14
611,26,13,-8
612,26,14,2
613,26,15,13
614,26,16,-18
615,26,17,-18
616,26,18,8
617,26,19,-8
618,26,20,9
619,26,21,4
620,26,22,-12
621,27,0,-17
622,27,1,13
623,27,2,-12
624,27,3,-19
625,27,4,18
626,27,5,-8
627,27,6,-19
628,27,7,-15
629,27,8,-7
630,27,9,15
631,27,10,-6
632,27,11,-18
633,27,12,-7
634,27,13,-16
635,27,14,16
636,27,15,10
637,27,16,8
638,27,17,-13
639,27,18,-18
640,27,19,12
641,27,20,-16
642,27,21,-2
643,27,22,-13
644,28,0,10
645,28,1,-12
646,28,2,-18
647,28,3,4
648,28,4,20
649,28,5,-8
650,28,6,-4
651,28,7,7
652,28,8,11
653,28,9,-13
654,28,10,-8
655,28,11,6
656,28,12,-2
657,28,13,1
658,28,14,-20
659,28,15,-14
660,28,16,-15
661,28,17,-15
662,28,18,14
